State,Remote,Founded,Rating,SalaryMin,SalaryMax,Salary Estimate,Hourly,Junior,Senior,part-time,temp,Rank,Cost of Living Index,Local Purchasing Power Index,State
AL,0.0625,1986.090909090909,3.7466666666666666,77.5,121.5625,,0.0,,1.0,0.0,0.0,,,,AL
AR,0.0,,,71.0,108.0,,0.0,,1.0,0.0,0.0,,,,AR
AZ,0.0847913862718708,1973.1773913043478,3.77029850746269,70.98194130925508,116.48532731376976,65.30666666666667,0.0,1.0,1.0,0.014804845222072678,0.13458950201884254,42.97035040431267,67.42269541779088,127.20053908355682,AZ
CA,0.06663482206830666,1987.0245220282627,3.8449941451990743,89.50510430537062,141.1970705725699,94.83259668508288,0.0019106759016001911,0.4065040650406504,0.8454469507101086,0.013241785188818049,0.06375674350171653,14.638516746411483,80.03295215311094,129.50275358852173,CA
CO,0.06907894736842106,1981.3505154639174,3.759666666666664,62.45528455284553,96.32520325203252,,0.0,0.05928853754940711,0.3356164383561644,0.013157894736842105,0.04276315789473684,29.205357142857142,73.2043035714288,129.60221428571558,CO
CT,0.06666666666666667,1982.8,3.4799999999999995,75.53333333333333,115.73333333333333,,0.06666666666666667,1.0,1.0,0.0,0.0,1.0,100.0,100.0,CT
DC,0.10869565217391304,1982.081081081081,3.815909090909091,74.65217391304348,118.73913043478261,,0.021739130434782608,1.0,1.0,0.0,0.10869565217391304,6.0,87.7399999999999,130.25,DC
DE,0.08695652173913043,1935.3673469387754,3.8634920634920635,74.45714285714286,130.68571428571428,73.88235294117646,0.0,1.0,1.0,0.0,0.028985507246376812,13.0,78.84000000000007,100.22999999999983,DE
FL,0.10463378176382661,1971.922077922078,3.825699745547073,46.42201834862385,88.60091743119266,,0.0,0.06696428571428571,0.3568904593639576,0.04671280276816609,0.04671280276816609,32.250409165302784,71.1672831423894,113.68278232405947,FL
GA,0.05,1989.4117647058824,3.9099999999999993,71.55,113.5,,0.0,1.0,1.0,0.0,0.0,26.0,73.89000000000001,140.47,GA
HI,0.0,1999.5,4.0,78.0,121.0,,0.0,,,0.0,0.0,4.0,89.7,88.29,HI
IA,0.0,1938.0,4.04,66.8,94.0,,0.0,1.0,1.0,0.0,0.0,,,,IA
ID,0.0,1991.8333333333333,3.9333333333333336,77.85714285714286,123.28571428571429,,0.0,1.0,1.0,0.0,0.0,56.0,60.71,99.05,ID
IL,0.11471861471861472,1979.0124137931034,3.727659574468086,71.68938193343898,108.8082408874802,77.50170648464164,0.003246753246753247,1.0,1.0,0.010822510822510822,0.09740259740259741,11.054229934924079,80.159609544468,113.54778741865574,IL
IN,0.09090909090909091,1987.888888888889,3.7363636363636368,46.15151515151515,79.21212121212122,,0.0,1.0,1.0,0.06060606060606061,0.09090909090909091,46.96875,66.35187499999998,110.23125,IN
KS,0.0,2003.0,3.4799999999999995,72.5,100.83333333333333,,0.0,,1.0,0.0,0.0,39.0,69.17,134.63,KS
